node	cvgt
root	False
0.825000	False
n12	False
Chrysithr	False
0.921000	False
Cladium	False
Coleochlo	False
Microdra	False
0.355000	False
0.995000	False
0.979000	False
Carpha	False
Schoenus	False
n1111	False
0.885000	False
0.9880008	False
Baumea	False
Machaeri	False
0.857000	False
0.996000	False
0.9930009	False
n10	False
0.935000	False
0.966000	False
Blysmus	False
0.9810007	False
Rhy.alba	False
Rhy.grac	False
Rhy.albi	False
n1010	True
n0	False
0.999000	False
Bolboscho	False
0.820000	False
0.975000	False
n8	False
Rhy.rubr	True
0.971000	True
0.960000	False
Ele.quan	False
0.000000	False
0.992000	False
0.948000	False
0.852000	False
Eriophor	False
Scirpus	False
0.671000	False
0.997000	False
Rhy.glob	True
Rhy.glo2	True
0.648000	False
Ele.geni	False
Abildgaar	False
Bulbostyl	True
Actinosch	False
n2	False
Fuir.abn	False
Fuir.umb	False
0.941000	False
n44	False
0.965000	False
Uncin.ph	False
Carex.com	False
0.383000	False
0.812000	False
0.729000	False
Fimb.lit	False
0.454000	False
n4	False
Scho.muc	False
0.824000	False
0.981000	False
Schoenox	False
Uncin.un	False
Carex.hal	False
0.936000	False
0.649000	False
n11	False
Ele.rost	False
0.973000	False
0.886000	False
n22	True
Scho.lac	False
Scho.val	False
0.761000	False
Scirpoid	False
Cyp.spha	False
0.897000	False
Carex.ber	False
Carex.pen	False
n00	False
Ele.fici	False
Ele.grac	False
Ele.lim2	False
0.993000	False
0.905000	False
Fimb.dic	False
Fimb.fe2	False
Fimb.li2	True
0.9600003	True
0.894000	False
Hellmut2	False
Cyp.alt3	False
0.804000	False
0.709000	False
Ele.viv2	False
Ele.limo	False
Ele.pal2	False
Ele.acut	False
0.923000	False
Fimb.di2	True
Fimb.fer	True
Hellmut1	False
Isolepis	False
Cyp.era6	False
0.772000	False
n1	True
Ele.bal3	False
Ele.palu	False
0.724000	False
0.988000	False
0.733000	False
0.731000	True
0.887000	True
Ele.gra2	False
Ele.lim3	False
Cyp.era1	False
Cyp.fusc	False
Cyp.pulc	False
n5	True
0.417000	True
Ele.bal4	True
Ele.vivi	True
Ele.vivA	True
Cyp.capi	True
0.360000	True
Ele.bald	True
Ele.bal2	True
Volkiell	True
0.821000	True
Cyp.ust2	True
0.863000	True
Remirea	True
n55	True
Cyp.iria	True
0.835000	True
0.998000	True
0.502000	True
Killinga	True
Pycreus	True
0.990000	True
0.8210006	True
Cyp.long	True
Cyp.rotu	True
Cyp.papy	True
Cyp.ustu	True
