node	cvgt
root	False
n0	False
Chrysithr	False
n00	False
n36	False
n1	False
Cladium	False
Coleochlo	False
Microdra	False
n11	False
n35	False
n2	False
Carpha	False
Schoenus	False
n3535	False
n22	False
n32	False
Baumea	False
Machaeri	False
n3	False
n2727	False
n3232	False
n3333	False
n33	False
n14	False
Blysmus	False
n28	False
Rhy.alba	False
Rhy.grac	False
Rhy.albi	False
n34	True
n4	False
n99	False
Bolboscho	False
n1414	False
n2828	False
n29	False
Rhy.rubr	True
n3434	True
n44	False
Ele.quan	False
n10	False
n1010	False
n15	False
n1515	False
Eriophor	False
Scirpus	False
n2929	False
n3030	False
Rhy.glob	True
Rhy.glo2	True
n5	False
Ele.geni	False
Abildgaar	False
Bulbostyl	True
Actinosch	False
n1111	True
Fuir.abn	False
Fuir.umb	False
n16	False
n17	False
n30	False
Uncin.ph	False
Carex.com	False
n31	False
n55	False
n66	False
Fimb.lit	True
n12	True
n1616	False
Scho.muc	False
n1717	False
n19	False
Schoenox	False
Uncin.un	False
Carex.hal	False
n3131	False
n6	False
Ele.fici	False
Ele.rost	False
n7	False
n1212	True
n13	True
Scho.lac	False
Scho.val	False
n18	False
Scirpoid	False
Cyp.spha	False
n1919	False
Carex.ber	False
Carex.pen	False
Ele.grac	False
Ele.lim2	False
n77	False
n8	False
Fimb.dic	True
Fimb.fe2	True
Fimb.li2	True
n1313	True
n1818	False
Hellmut2	False
Cyp.alt3	True
n20	False
Ele.limo	False
Ele.pal2	False
Ele.acut	False
n88	False
Fimb.di2	True
Fimb.fer	True
Hellmut1	False
Isolepis	False
Cyp.era6	False
n2020	False
Ele.palu	False
n9	False
n21	False
n2121	False
Ele.gra2	False
Ele.lim3	False
Cyp.era1	False
Cyp.fusc	False
Cyp.pulc	False
n2222	True
Cyp.capi	True
n23	True
Volkiell	True
n2323	True
Cyp.ust2	True
n24	True
Remirea	True
n2424	True
Cyp.iria	True
n25	True
n2525	True
n26	True
Killinga	True
Pycreus	True
n2626	True
n27	True
Cyp.long	True
Cyp.rotu	True
Cyp.papy	True
Cyp.ustu	True
