node	ismarine
root	False
n0	False
n1026	False
n00	False
Megalops_atlanticus	False
Amia_calva	False
n10261026	False
n1	False
Elops_saurus	False
Atractosteus_tropicus	False
n1027	False
n11	False
Sprattus_sprattus	False
Lepisosteus_oculatus	False
Lepisosteus_osseus	False
n2	False
n10231023	False
n22	False
n10161016	False
n1024	True
n1025	True
n3	False
Eurypharynx_pelecanoides	True
Anguilla_anguilla	False
n1017	True
Anguilla_japonica	False
n10241024	True
n10251025	True
Notacanthus_bonaparte	True
n33	False
n10151015	False
n10171017	True
Muraena_robusta	True
Conger_conger	True
Conger_japonicus	True
Halosauropsis_macrochir	True
Histiobranchus_bathybius	True
n4	False
n303303	False
Arapaima_gigas	False
n1016	False
n1018	True
n10221022	True
n44	False
Parakneria_cameronensis	False
n304	False
n1004	False
Mormyrops_anguilloides	False
Osteoglossum_bicirrhosum	False
n10181018	True
Gymnothorax_favagineus	True
Gymnothorax_reticularis	True
n1023	True
n5	False
n152	False
n304304	False
n1002	True
n10041004	False
Lepidogalaxias_salamandroides	False
n1019	True
n1021	True
Rhinomuraena_quaesita	True
Strophidon_sathete	False
n55	False
n124	False
n152152	False
n292	False
n305	True
n995995	False
n10021002	True
Sagamichthys_abei	True
n1005	False
n10121012	False
n10191019	True
n10201020	True
Gymnothorax_unicolor	True
n10211021	True
n6	False
Denticeps_clupeoides	False
n124124	False
n130	False
n153	False
Betadevario_ramachandrani	False
n292292	False
Chelaethiops_elongatus	False
n305305	True
n987	True
n996	False
n10001000	True
n1003	True
Talismania_longifilis	True
n10051005	False
n10101010	False
n1013	False
n1015	False
n1020	True
Gymnothorax_bacalladoi	True
Gymnothorax_maderensis	True
Gymnothorax_miliaris	True
n1022	True
Muraena_melanotis	True
n66	False
Notropis_petersoni	False
n125	False
n129129	False
n130130	False
n143143	False
n153153	False
n290290	False
n293	False
Neobola_bottegoi	False
n306	True
n986986	True
n987987	True
Lampris_immaculatus	True
n996996	False
Lovettia_sealii	False
n1001	True
n10011001	True
Alepocephalus_antipodianus	True
n10031003	True
Brachymystax_lenok	False
n1006	False
Dallia_pectoralis	False
n1011	False
n10131013	False
n1014	False
Prototroctes_maraena	False
Stokellia_anisodon	False
Enchelycore_anatina	True
Gymnothorax_polygonius	True
Muraena_augusti	True
Muraena_helena	True
n7	False
n51	False
n125125	False
Sardinella_maderensis	False
Chanos_chanos	False
Gonorynchus_greyi	False
n131	False
Ariopsis_felis	False
n144	False
Ctenolucius_hujeta	False
n154	False
n290	False
n291	False
n291291	False
n293293	False
Chelaethiops_bibie	False
n306306	True
n952	True
Haemulon_aurolineatum	True
Sillago_sihama	False
n988	True
n995	True
Aplochiton_zebra	False
n997	False
Argentina_sialis	True
Argentina_striata	True
Argentina_silus	True
Argentina_sphyraena	True
Alepocephalus_bicolor	True
Alepocephalus_owstoni	True
n10061006	False
Oncorhynchus_kisutch	False
n10111011	False
n1012	False
Hypomesus_nipponensis	False
Osmerus_eperlanus	False
n10141014	False
Salangichthys_microdon	False
n77	False
n27	False
n5151	False
n121	False
n126	False
n128128	False
n131131	False
Clarias_gariepinus	False
n144144	False
Semaprochilodus_insignis	False
n154154	False
n274274	False
Danionella_dracula	False
Danionella_mirifica	False
Esomus_ahli	False
Esomus_caudiocellatus	False
Esomus_longimanus	False
Esomus_metallicus	False
n294	False
n299	False
n307	True
n806806	True
n952952	True
n978978	True
n988988	True
n992992	True
Zenopsis_conchifer	True
Zeus_faber	True
n997997	False
Galaxias_platei	False
n1007	False
Oncorhynchus_tshawytscha	False
Esox_lucius	False
Esox_reichertii	False
Umbra_limi	False
Umbra_pygmaea	False
Neosalanx_anderssoni	False
Protosalanx_chinensis	False
n8	False
n1010	False
n2727	False
Squaliobarbus_curriculus	False
n52	False
Notropis_longirostris	False
n121121	False
n123123	False
n126126	False
n127127	False
n129	False
Clupea_harengus	False
n132	False
n140	False
n145	False
n147147	False
n155	False
n263263	False
n275	False
n288	False
n294294	False
Opsarius_pulchellus	False
