Analysis	Replicate	TP	FP	FN	TN	Type1	Recall	Precision	F1Score
emergence	0	6	4	6	13	0.235294117647059	0.5	0.6	0.545454545454545
correlation	0	8	0	4	17	0	0.666666666666667	1	0.8
condor	0	3	0	9	17	0	0.25	1	0.4
emergence	1	6	3	6	23	0.115384615384615	0.5	0.666666666666667	0.571428571428572
correlation	1	8	0	4	26	0	0.666666666666667	1	0.8
condor	1	3	0	9	26	0	0.25	1	0.4
emergence	2	6	2	6	18	0.1	0.5	0.75	0.6
correlation	2	8	0	4	20	0	0.666666666666667	1	0.8
condor	2	3	0	9	20	0	0.25	1	0.4
emergence	3	6	3	6	13	0.1875	0.5	0.666666666666667	0.571428571428572
correlation	3	7	0	5	16	0	0.583333333333333	1	0.736842105263158
condor	3	3	0	9	16	0	0.25	1	0.4
emergence	4	7	2	5	24	0.0769230769230769	0.583333333333333	0.777777777777778	0.666666666666667
correlation	4	8	0	4	26	0	0.666666666666667	1	0.8
condor	4	4	0	8	26	0	0.333333333333333	1	0.5
emergence	5	6	5	6	19	0.208333333333333	0.5	0.545454545454545	0.521739130434783
correlation	5	8	0	4	24	0	0.666666666666667	1	0.8
condor	5	3	0	9	24	0	0.25	1	0.4
emergence	6	6	4	6	24	0.142857142857143	0.5	0.6	0.545454545454545
correlation	6	8	0	4	28	0	0.666666666666667	1	0.8
condor	6	3	0	9	28	0	0.25	1	0.4
emergence	7	6	3	6	25	0.107142857142857	0.5	0.666666666666667	0.571428571428572
correlation	7	8	0	4	28	0	0.666666666666667	1	0.8
condor	7	3	0	9	28	0	0.25	1	0.4
emergence	8	6	2	6	20	0.0909090909090909	0.5	0.75	0.6
correlation	8	8	0	4	22	0	0.666666666666667	1	0.8
condor	8	3	0	9	22	0	0.25	1	0.4
emergence	9	6	0	6	28	0	0.5	1	0.666666666666667
correlation	9	8	0	4	28	0	0.666666666666667	1	0.8
condor	9	3	0	9	28	0	0.25	1	0.4
emergence	AVG	6.1	2.8	5.9	20.7	0.119148936170213	0.508333333333333	0.685393258426966	0.583732057416268
correlation	AVG	7.9	0	4.1	23.5	0	0.658333333333333	1	0.793969849246231
condor	AVG	3.1	0	8.9	23.5	0	0.258333333333333	1	0.410596026490066
