Analysis	Replicate	TP	FP	FN	TN	Type1	Recall	Precision	F1Score
emergence	0	7	2	5	15	0.117647058823529	0.583333333333333	0.777777777777778	0.666666666666667
correlation	0	6	0	6	17	0	0.5	1	0.666666666666667
condor	0	4	0	8	17	0	0.333333333333333	1	0.5
emergence	1	6	1	6	25	0.0384615384615385	0.5	0.857142857142857	0.631578947368421
correlation	1	7	1	5	25	0.0384615384615385	0.583333333333333	0.875	0.7
condor	1	4	0	8	26	0	0.333333333333333	1	0.5
emergence	2	7	1	5	19	0.05	0.583333333333333	0.875	0.7
correlation	2	8	2	4	18	0.1	0.666666666666667	0.8	0.727272727272727
condor	2	5	0	7	20	0	0.416666666666667	1	0.588235294117647
emergence	3	7	2	5	14	0.125	0.583333333333333	0.777777777777778	0.666666666666667
correlation	3	7	0	5	16	0	0.583333333333333	1	0.736842105263158
condor	3	4	0	8	16	0	0.333333333333333	1	0.5
emergence	4	7	1	5	25	0.0384615384615385	0.583333333333333	0.875	0.7
correlation	4	6	1	6	25	0.0384615384615385	0.5	0.857142857142857	0.631578947368421
condor	4	5	0	7	26	0	0.416666666666667	1	0.588235294117647
emergence	5	6	1	6	23	0.0416666666666667	0.5	0.857142857142857	0.631578947368421
correlation	5	7	0	5	24	0	0.583333333333333	1	0.736842105263158
condor	5	4	0	8	24	0	0.333333333333333	1	0.5
emergence	6	7	0	5	28	0	0.583333333333333	1	0.736842105263158
correlation	6	10	4	2	24	0.142857142857143	0.833333333333333	0.714285714285714	0.769230769230769
condor	6	7	0	5	28	0	0.583333333333333	1	0.736842105263158
emergence	7	6	0	6	28	0	0.5	1	0.666666666666667
correlation	7	1	1	11	27	0.0357142857142857	0.0833333333333333	0.5	0.142857142857143
condor	7	0	0	12	28	0	0	N/A	N/A
emergence	8	6	1	6	21	0.0454545454545455	0.5	0.857142857142857	0.631578947368421
correlation	8	6	1	6	21	0.0454545454545455	0.5	0.857142857142857	0.631578947368421
condor	8	3	0	9	22	0	0.25	1	0.4
emergence	9	7	0	5	28	0	0.583333333333333	1	0.736842105263158
correlation	9	6	0	6	28	0	0.5	1	0.666666666666667
condor	9	4	0	8	28	0	0.333333333333333	1	0.5
emergence	AVG	6.6	0.9	5.4	22.6	0.0382978723404255	0.55	0.88	0.676923076923077
correlation	AVG	6.4	1	5.6	22.5	0.0425531914893617	0.533333333333333	0.864864864864865	0.65979381443299
condor	AVG	4	0	8	23.5	0	0.333333333333333	1	0.5
