Analysis	Replicate	TP	FP	FN	TN	Type1	Recall	Precision	F1Score
emergence	0	7	2	5	15	0.117647058823529	0.583333333333333	0.777777777777778	0.666666666666667
correlation	0	8	0	4	17	0	0.666666666666667	1	0.8
condor	0	4	0	8	17	0	0.333333333333333	1	0.5
emergence	1	6	2	6	24	0.0769230769230769	0.5	0.75	0.6
correlation	1	8	0	4	26	0	0.666666666666667	1	0.8
condor	1	4	0	8	26	0	0.333333333333333	1	0.5
emergence	2	7	1	5	19	0.05	0.583333333333333	0.875	0.7
correlation	2	8	0	4	20	0	0.666666666666667	1	0.8
condor	2	4	0	8	20	0	0.333333333333333	1	0.5
emergence	3	7	2	5	14	0.125	0.583333333333333	0.777777777777778	0.666666666666667
correlation	3	8	0	4	16	0	0.666666666666667	1	0.8
condor	3	4	0	8	16	0	0.333333333333333	1	0.5
emergence	4	7	1	5	25	0.0384615384615385	0.583333333333333	0.875	0.7
correlation	4	8	0	4	26	0	0.666666666666667	1	0.8
condor	4	4	0	8	26	0	0.333333333333333	1	0.5
emergence	5	6	1	6	23	0.0416666666666667	0.5	0.857142857142857	0.631578947368421
correlation	5	8	0	4	24	0	0.666666666666667	1	0.8
condor	5	4	0	8	24	0	0.333333333333333	1	0.5
emergence	6	6	0	6	28	0	0.5	1	0.666666666666667
correlation	6	8	0	4	28	0	0.666666666666667	1	0.8
condor	6	4	0	8	28	0	0.333333333333333	1	0.5
emergence	7	6	0	6	28	0	0.5	1	0.666666666666667
correlation	7	8	0	4	28	0	0.666666666666667	1	0.8
condor	7	4	0	8	28	0	0.333333333333333	1	0.5
emergence	8	6	1	6	21	0.0454545454545455	0.5	0.857142857142857	0.631578947368421
correlation	8	8	0	4	22	0	0.666666666666667	1	0.8
condor	8	3	0	9	22	0	0.25	1	0.4
emergence	9	7	0	5	28	0	0.583333333333333	1	0.736842105263158
correlation	9	8	0	4	28	0	0.666666666666667	1	0.8
condor	9	4	0	8	28	0	0.333333333333333	1	0.5
emergence	AVG	6.5	1	5.5	22.5	0.0425531914893617	0.541666666666667	0.866666666666667	0.666666666666667
correlation	AVG	8	0	4	23.5	0	0.666666666666667	1	0.8
condor	AVG	3.9	0	8.1	23.5	0	0.325	1	0.490566037735849
